record_id,classification,resource_type,resource_id,fingerprint_md5,clinical_audit_set_fingerprint
0a11b724-4fb8-40ab-9191-397fe236c7b9,clinical_delete_target,image_ingestion_batch,562111db-5e44-4374-a5b4-17791b9495cb,e792e41fa49b80f512816445663bbd5d,310e78840b955e3ca6e75eb03f0c66c8
0a7b3655-36fc-48ba-b889-71e23d3f2300,clinical_delete_target,quality_assessment_queue_item,c900309c-5bcd-454c-bc95-2ac934f09c06,7c4cb1dc73475b0732ab94d70e01b30b,310e78840b955e3ca6e75eb03f0c66c8
0a9758f3-8371-4ded-b9e4-d9fc1786ff5f,clinical_delete_target,quality_assessment_queue_item,3d34ed0e-767c-4b91-aa6b-a252b5e10812,1008910cc5bb4a493124a66db009fbb5,310e78840b955e3ca6e75eb03f0c66c8
0ac79309-ae23-47e6-a0e8-de00462a20d9,clinical_delete_target,microscopy_analysis_run,d28e9146-5ad9-4df7-8af4-1b8901780c2b,00e375f4a7dcbb2f06617f4f862a609d,310e78840b955e3ca6e75eb03f0c66c8
0ae9b66e-2dc9-42ee-8cbd-a8b38ebbe9f5,clinical_delete_target,blood_sample,caa6cc47-39fd-42b6-b20f-61d03934fa9b,b8c8352ce2e3ac773066c7dc8da8c222,310e78840b955e3ca6e75eb03f0c66c8
0b3524d5-801a-4572-9628-7a2a94af4bd7,clinical_delete_target,image_ingestion_batch,a9aed562-1e0a-4661-b3e0-7f4cc2ca2e92,1dbf78c4f5bbdb6b6818a8de75164c11,310e78840b955e3ca6e75eb03f0c66c8
0b4fbfbb-8ca4-4406-8d12-e54a28892992,clinical_delete_target,quality_assessment_queue_item,4d4446ad-3741-4d2d-908e-87a0afa30705,30dda92f1bbf4e7d932dd83772a59e22,310e78840b955e3ca6e75eb03f0c66c8
0bba807f-184d-4fdf-958c-d5233f567755,clinical_delete_target,microscopy_analysis_run,214fd936-3c74-4042-937a-3131ff495bdd,247722404a3abd285cd635bc71ab4f18,310e78840b955e3ca6e75eb03f0c66c8
0bef38a5-89f1-4aa5-a285-7e711eacc648,clinical_delete_target,quality_assessment_queue_item,9a60975c-af56-40e5-b133-84c69b165fa4,f5ff8e008407bbc7d075f7d85c425eff,310e78840b955e3ca6e75eb03f0c66c8
0bf2daa5-3e29-4364-9296-a6f2b9d751fe,clinical_delete_target,microscopy_analysis_run,54e278de-2381-4a05-8faa-42bf761f6688,527d37e9e4348c7f038901e176d995ba,310e78840b955e3ca6e75eb03f0c66c8
0d32f186-e6d7-4939-8d53-28a831739469,clinical_delete_target,research_subject,2dce1331-e180-4ce3-b848-fb2019d8def7,71a69da28d956ba2675adfbc7551d433,310e78840b955e3ca6e75eb03f0c66c8
0f17f10b-88a9-4d23-a398-7b49a84bb814,clinical_delete_target,microscopy_analysis_run,3a33d13c-ff5b-46ba-94b4-0710e5185301,797848f8b9c1eee033e1ab4f92f8d529,310e78840b955e3ca6e75eb03f0c66c8
0ff1b6e6-77d3-49d2-b60b-fd227a8f56fd,clinical_delete_target,microscopy_analysis_run,52c4864d-1788-41db-a1d2-883ce7d83a58,7601b14d3b893b734a9b111124e4226e,310e78840b955e3ca6e75eb03f0c66c8
100d5832-e22f-4a03-a350-0e1a51a2eaa5,clinical_delete_target,cell_detection_run,aa1323a6-7f80-4e1e-819a-ec182f045f3d,8e753118f43e4ab60f03bb75e6715953,310e78840b955e3ca6e75eb03f0c66c8
10ba0a71-0434-4bf0-85b3-da684cc99aad,clinical_delete_target,research_subject,ae174ed6-b058-4867-9d58-ae6d2b9d0f33,f8ae0c73c8b4f61fc1a6f28a73b8b28e,310e78840b955e3ca6e75eb03f0c66c8
