source_table,record_id,storage_column,storage_key,expected_size,expected_sha256,clinical_entity_type
cell_crops,0499ced2-9347-4459-bca2-c48c543de356,relative_storage_key,cell-crops/4e1ca921-c5c6-4d89-b035-2d7dd99040d5/b9f975b3-7cd8-4b9a-a2cc-1bd9a76d924c/dc6df3c3-f03e-4261-bd4c-a2df5e0f0d88/658fffb3-713a-4b59-a5c2-bcefcf2c8140/crop.png,2273,c622aefa3fbf6278f8e701e9fe7a1c64387d95225bc573e0e085913db40a013a,cell_crops
cell_crops,049b6b03-2ad0-4ee3-a992-ad1754ebf04b,relative_storage_key,cell-crops/db1855bf-e94d-43ea-86dc-5c1d21c82206/70a62caf-67c3-44f5-8752-596e9432c4ca/f914626e-fa1c-483a-ac2d-a7ebce6130f5/f5ec1310-6c39-4d8f-9a19-d6dd2a7ded30/crop.png,4783,f882d68f098dd4ba96adea0a12df89b763da458828bd3537d52b7ea1071b0578,cell_crops
cell_crops,04b298f6-5804-4349-99da-619851ac174e,relative_storage_key,cell-crops/7fd7ef40-bc9c-40d1-9e62-62bf0850c6b3/f6e252a5-7924-4e5c-bc63-8b711db60ba0/8a0187a3-03f0-45bd-ac3c-6e47c7999f03/aca0775c-16b4-4d6e-9bd1-2c8c59b32026/crop.png,1927,e4379b6f91d5d84c60cdcd55511cdcfb958ca26bad55f49583389e4199c1239a,cell_crops
cell_crops,04c334e5-dc24-4de0-a423-0363a529502d,relative_storage_key,cell-crops/121a69bf-ba23-4014-892b-158b9c2b71a4/aa1323a6-7f80-4e1e-819a-ec182f045f3d/97fb12a0-df7f-455f-8e13-e0383ad3934d/b450a3f9-d8b1-49ac-9186-8d52589ac867/crop.png,1608,1ecbc6a894486eca96b093d1bfc96addb59dfbde7b930428ecbc432ad90f0704,cell_crops
cell_crops,04ca221c-485b-41a0-ac1d-43bed28f21c8,relative_storage_key,cell-crops/05b33155-8921-4eb9-9920-af67decfe454/6278de2c-44dd-4a75-aca2-9708e58437ba/92e2e64a-1c82-402b-b24d-75d43d50a17f/5d345b3c-d341-4d9b-8657-59b8075570a2/crop.png,2537,6808a9bd978e2f6d49d45e6cd7643e94c50b5aff28a69645215253e9d6ded96b,cell_crops
cell_crops,04eb8f39-e1ae-4c7d-81e6-ea858f4ae7ee,relative_storage_key,cell-crops/54e278de-2381-4a05-8faa-42bf761f6688/50b0884e-ddde-4252-be9d-058151c986c4/f4400105-33b9-4bc0-860b-010b1cf3d386/a8bb62a9-7c89-4646-be65-8ef4c70f6eb2/crop.png,1317,0f2b9e2cf5c73af3553745d1f207a82f57c0cd4a8755be52f1e606e4aa8e9200,cell_crops
cell_crops,04ec7016-a2dc-4ecf-8803-a32648e0db60,relative_storage_key,cell-crops/52c4864d-1788-41db-a1d2-883ce7d83a58/490887fa-b3af-4136-85dc-8ae66e413acd/bf339bce-cffa-48e9-a044-4b9df2cc36b4/455c6f36-7600-4597-b84a-803522dbd27e/crop.png,2364,cba01f630bf2ebb0dab90a46279b0e66136b7187dbb9a5210060336ca0b12f66,cell_crops
cell_crops,052eea52-5f56-4902-bd39-7252d717bfae,relative_storage_key,cell-crops/7ef7cff8-899e-428e-b89a-36803c0575b3/04bafb48-259f-4626-82fb-a3359ee3160b/26ddb17b-1b89-4301-8f40-011ccf0f40dc/7f7e0e23-654a-46f0-b54b-e6ad9a0b7183/crop.png,2528,777d070e803ac8707ffaa41c9fe7d2a5ca6bf09b5748715958774fd7840d8073,cell_crops
cell_crops,053aaea4-f791-4c34-8143-0f2ff85d31a1,relative_storage_key,cell-crops/07c71166-93b3-415e-b764-6ca7344238f6/151ee7ee-b609-4e6b-985c-04af59a85470/9c45439d-fd87-46c3-944a-439ab92cbf89/67f58047-f097-4980-be97-467d1f7a4f5a/crop.png,1749,904d29ab47555a1415fedb1a8ad1676665ea192f9868bb99051c7acd6bb6fc4f,cell_crops
cell_crops,053e70dc-5dec-445b-b640-4e0d4f8d6262,relative_storage_key,cell-crops/8122e340-548f-40df-9dd4-ed43859605ff/ed18ce4e-6fb0-4f1f-b313-c9d76617210c/8cb2cae1-c3e1-487c-a274-4385f339dded/a6327250-383a-4532-8ad2-f533a252ac43/crop.png,3364,9b2254221e9f23ba05f050a5f6a7f0d866c6a87a21d3731b446f91e4cf7b45ee,cell_crops
